ID,Codice Sito,Nome,Gestore,Indirizzo,Longitudine,Latitudine,Quota al suolo,Postazione,Altezza antenna da suolo
663,L340S038,VERONA PARONA,RFI (RETE FERROVIA ITALIANA),c/o scalo merci Verona Parona  VERONA (VR),10.942042136693553,45.47912720309354,80,Altro,20.3,
664,L350S004,SUSEGANA,RFI (RETE FERROVIA ITALIANA),C/o stazione FF.SS.  SUSEGANA (TV),12.260497126113902,45.82395031609559,69.5,Altro,25.8,
665,L426S001,PADOVA CAMPO MARTE,RFI (RETE FERROVIA ITALIANA),c/o scalo merci Padova Campo Marte  PADOVA (PD),11.8521430955024,45.40858000226289,13.7,Al Suolo,26.15,
666,L426S002,ABANO TERME,RFI (RETE FERROVIA ITALIANA),c/o Stazione FF.SS.  ABANO TERME (PD),11.812622744537771,45.35723546475722,13.8,Altro,25.65,
667,L426S003,BATTAGLIA TERME,RFI (RETE FERROVIA ITALIANA),c/o Stazione FF.SS.  BATTAGLIA TERME (PD),11.779658344770356,45.29289018960072,5.4,Altro,25.65,
668,L426S004,MONSELICE,RFI (RETE FERROVIA ITALIANA),c/o Stazione FF.SS.  MONSELICE (PD),11.749984952105779,45.24865523616579,10.2,Su palo,25.65,
670,L426S006,ROVIGO,RFI (RETE FERROVIA ITALIANA),Via Forlanini c/o passaggio a livello  ROVIGO (RO),11.78206111422516,45.07053478036687,6.5,Altro,25.65,
671,L426S007,POLESELLA,RFI (RETE FERROVIA ITALIANA),c/o Stazione FF.SS.  POLESELLA (RO),11.739160586419906,44.96094842390785,3.3,Altro,25.65,
672,L426S008,OCCHIOBELLO,RFI (RETE FERROVIA ITALIANA),c/o Stazione FF.SS.  OCCHIOBELLO (RO),11.622602621005484,44.900654901799044,6.1,Altro,25.65,
673,L446S002,VERONA CA' DI DAVID,RFI (RETE FERROVIA ITALIANA),c/o Stazione Ferroviaria  VERONA (VR),10.969671570366598,45.379342285881066,49.7,Al Suolo,25.65,
674,L446S003,ISOLA DELLA SCALA,RFI (RETE FERROVIA ITALIANA),c/o Stazione Ferroviaria  ISOLA DELLA SCALA (VR),11.013915301177432,45.269904575187795,28,Al Suolo,26.3,
675,L446S004,NOGARA,RFI (RETE FERROVIA ITALIANA),c/o Stazione Ferroviaria  NOGARA (VR),11.07166602807545,45.18058326327794,18,Al Suolo,26.3,
733,PD 035Var1,CONSELVE,WIND,VIA TERRAZZE  CONSELVE (PD),11.884071650373503,45.24011498984474,3.3,Altro,22.2,
783,PD 119var1,PIOMBINO DESE,WIND,VIA PROVINCIALE - CAMPO SPORTIVO  PIOMBINO DESE (PD),11.992593994352353,45.60320137473781,24.3,Altro,22.3,
806,PD 150var1,CARTURA,WIND,VIA BRAGALEO  CARTURA (PD),11.854307605768803,45.26375453047018,4,Altro,22.55,
815,PD 173,STRADA BATTAGLIA,WIND,VIA S. GIUSTINA - ABANO TERME (PD)  ABANO TERME (PD),11.821427013376347,45.34480309237293,10.4,Al Suolo,32.65,
821,PD 183,POLVERARA,WIND,VIA ROMA (DIETRO CIMITERO)  POLVERARA (PD),11.961388519108823,45.31115540974419,4.4,Al Suolo,22.5,
